movieNm,audiCnt,scrnCnt,audiPerScrn
한산: 용의 출현,1156854,4805,240.7604578563996
비상선언,816780,4925,165.84365482233503
탑건: 매버릭,190002,1868,101.71413276231263
미니언즈2,177912,2413,73.73062577704103
뽀로로 극장판 드래곤캐슬 대모험,73098,1691,43.227675931401535
헤어질 결심,46430,809,57.39184177997528
외계+인 1부,42114,1177,35.78079864061173
명탐정 코난: 할로윈의 신부,10748,262,41.02290076335878
